203,www.dcc.uchile.cl,192.80.24.4,-33.400,-70.667,CL.UCHILE.N1,University of Chile,dcc.uchile.cl,NOT-SET
204,netslave1.cc.monash.edu.au,130.194.1.99,-37.82,144.97,AU.MONASH.EDU.N1,Monash University,monash.edu.au,NOT-SET
205,munnari.oz.au,202.29.151.3,-35.250,149.133,AU.OZ.N1,University of Melbourne,munnari.oz.au,NOT-SET
206,leonis.nus.edu.sg,137.132.1.18,1.283,103.850,leonis.nus.edu.sg,University of Singapore,leonis.nus.edu.sg,Z
207,www.singaren.net.sg,203.30.39.3,1.283,103.850,SG.SINGAREN.NET.N1,Singaren,singaren.net.sg,B
208,128.250.54.22,128.250.54.22,-35.250,149.133,AU.UNIMELB.N1,Universtity of Melbourne,unimelb.edu.au,Z
209,www.utm.my,161.139.21.51,1.5584,103.6384,MY.UTM.N1,University Teknologi Malaysia,utm.my,NOT-SET
210,www.itb.ac.id,167.205.1.34,-6.9147,107.6098,ID.ITB.AC.N1,Institute of Technology Bandung,itb.ac.id,NOT-SET
211,magic.mn,202.131.224.80,47.55,106.53,MN.MAGIC.N1,NOT-SET,magic.mn,B
212,enterprise.phys.vt.edu,198.82.152.153,37.23,-80.42,EDU.VT.N1,Virginia Tech,vt.edu,NOT-SET
213,www.hep.uiuc.edu,128.174.118.162,40.11,-88.21,EDU.UIUC.N1,University of Illinois at Urbana Champaign,uiuc.edu,NOT-SET
214,mnhepw.hep.umn.edu,128.101.220.105,44.98,-93.25,EDU.UMN.N3,University of Minnesota,umn.edu,Z
215,216.59.82.1,216.59.82.1,35.822,-78.817,TG.HOME-FPOINT.NET,Farpoint Technologies,fpoint.net,Z
216,rainbow.inp.nsk.su,84.237.43.50,54.8482,83.1125,RU.NSK.N1,Institute for Nuclear Physics,nsk.su,MWB
217,mail2.starcom.co.ug,41.190.128.21,0.32,32.58,UG.STARCOM.CO.N1,NOT-SET,starcom.co.ug,B
